the_geom,uid,facname,addressnum,streetname,address,city,zipcode,boro,borocode,bin,bbl,commboard,nta,council,schooldist,policeprct,censtract,factype,the_geom_webmercator,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,proptype,latitude,longitude,xcoord,ycoord,datasource,facsubgrp
0101000020E6100000C7C85F88257752C00B78E79A645E4440,1b694c527aa47432c96e63d29717ec8a,LEFRAK CITY,98-30,57 AVENUE,98-30 57 AVENUE,CORONA,11368,Queens,4,4047321,4019180070,404,QN25,21,110,24,045500,PUBLIC LIBRARY,0101000020110F0000FF2AC5C1885D5FC116A60FEC1EF95241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,Queens Public Library,,Public,Queens Public Library,QPL,City,,,,40.7374452238292,-73.8616658149141,1022585.85718453,207978.05144929,qpl_libraries,PUBLIC LIBRARIES
0101000020E61000009B758A96BA7152C03B7DA9E029644440,1593944f52da506dffb92656d1028087,BAY TERRACE,18-36,BELL BOULEVARD,18-36 BELL BOULEVARD,BAYSIDE,11360,Queens,4,4131148,4058650082,407,QN47,19,109,25,099704,PUBLIC LIBRARY,0101000020110F0000D7B54FE454545FC1B748755497FF5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,Queens Public Library,,Public,Queens Public Library,QPL,City,,,,40.7825280025085,-73.7770134307997,1046003.29412117,224451.513416997,qpl_libraries,PUBLIC LIBRARIES
0101000020E6100000200D7BE99F7F52C0AA6882DCDB584440,c4d96c8248abdfb96b1140b300271046,BROOKLYN HEIGHTS LIBRARY,109,REMSEN STREET,109 REMSEN STREET,BROOKLYN,11201,Brooklyn,3,3002076,3002490016,302,BK09,33,084,13,000502,PUBLIC LIBRARY,0101000020110F0000E827565DEF6B5FC1540EDF6FEBF25241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,Brooklyn Public Library,BPL,Public,Brooklyn Public Library,BPL,City,,,,40.6942096363794,-73.9941352559731,985876.322318225,192195.792495491,bpl_libraries,PUBLIC LIBRARIES
0101000020E610000001BA2E29F57D52C0C2C901F010564440,e6acd0ad76cb481f877bec0d6702b3f8,CENTRAL LIBRARY,10,GRAND ARMY PLAZA,10 GRAND ARMY PLAZA,BROOKLYN,11238,Brooklyn,3,3029665,3011830002,355,BK99,35,078,17,017700,PUBLIC LIBRARY,0101000020110F00008FD01B7C1A695FC1351F73BECAEF5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,Brooklyn Public Library,BPL,Public,Brooklyn Public Library,BPL,City,,,,40.6723918923121,-73.9680884319605,993102.130085692,184248.514102447,bpl_libraries,PUBLIC LIBRARIES
0101000020E6100000858EEF6FD27D52C08112822805524440,4a908ad158e074705cceff0753e74494,CORTELYOU LIBRARY,1305,CORTELYOU ROAD,1305 CORTELYOU ROAD,BROOKLYN,11226,Brooklyn,3,3118362,3051440080,314,BK42,40,070,22,152200,PUBLIC LIBRARY,0101000020110F0000011AD480DF685FC1942AC72A43EB5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,Brooklyn Public Library,BPL,Public,Brooklyn Public Library,BPL,City,,,,40.6407824168318,-73.9659690703794,993694.505705396,172732.524996292,bpl_libraries,PUBLIC LIBRARIES
0101000020E6100000AEA62204167652C0619A74B1606F4440,61dc04bb358b8138f7062579ac853bd4,EASTCHESTER LIBRARY,1385,EAST GUN HILL ROAD,1385 EAST GUN HILL ROAD,BRONX,10469,Bronx,2,2061767,2047620022,212,BX03,12,047,11,035800,PUBLIC LIBRARY,0101000020110F0000AC35088FBB5B5FC178515B7B2D0C5341,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,40.8701383418418,-73.8450937593832,1027092.89059805,256330.445557949,nypl_libraries,PUBLIC LIBRARIES
0101000020E6100000492A2B404D7452C038E195863C5E4440,08ad299940f692ef656a3b64c69eeb98,GODWIN TERNBACH MUSEUM,,KLAPPER HALL,QUEENS COLLEGE 405 KLAPPER HALL,FLUSHING,11367,Queens,4,4439911,4065170001,408,QN37,24,107,25,080900,MUSEUM,0101000020110F000082E251B2B3585FC1E8B592FFF1F85241,CULTURAL INSTITUTIONS,LIBRARIES AND CULTURAL PROGRAMS,Regional,Godwin Ternbach Museum,Non-public,Non-public,NYC Department of Cultural Affairs,NYCDCLA,City,,,,40.7362220985255,-73.817215006021,1034905.20051481,207555.008113587,dcla_culturalinstitutions,MUSEUMS
0101000020E610000053DD3CE4568052C070F9221C6E5D4440,4f76e49643d7073ae319dd30aca67945,HUDSON PARK LIBRARY,66,LEROY STREET,66 LEROY STREET,NEW YORK,10014,Manhattan,1,1009760,1005820018,102,MN23,03,006,02,006700,PUBLIC LIBRARY,0101000020110F0000C121792C266D5FC19ACB61A50AF85241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,40.7299227877401,-74.0053034395581,982780.117921355,205207.166309997,nypl_libraries,PUBLIC LIBRARIES
0101000020E610000078187A2E3C7C52C08F0869B0244C4440,36e96ba8a687d2aad76912231723f11f,KINGS BAY LIBRARY,3650,NOSTRAND AVENUE,3650 NOSTRAND AVENUE,BROOKLYN,11229,Brooklyn,3,3202630,3074050920,315,BK17,48,061,22,059402,PUBLIC LIBRARY,0101000020110F0000029BE26F2D665FC1BEEA0FDCAFE45241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,Brooklyn Public Library,BPL,Public,Brooklyn Public Library,BPL,City,,,,40.5948696625575,-73.94117319034,1000587.26726634,156008.953123913,bpl_libraries,PUBLIC LIBRARIES
0101000020E6100000C08C87E4B27852C0E6D51C759E534440,90de1b2246a755e66fe2ba0bc36292aa,SPRING CREEK LIBRARY,12143,FLATLANDS AVENUE,12143 FLATLANDS AVENUE,BROOKLYN,11207,Brooklyn,3,3098071,3044130025,305,BK82,42,075,19,110400,PUBLIC LIBRARY,0101000020110F000029007CB62B605FC1835413520DED5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,Brooklyn Public Library,BPL,Public,Brooklyn Public Library,BPL,City,,,,40.6532732382582,-73.8859187434891,1015904.70718385,177302.051743751,bpl_libraries,PUBLIC LIBRARIES
